function,ncalls,tottime,cumtime
fromnumeric.py:3047:_max_dispatcher,1,8.400000000000001e-08,8.400000000000001e-08
fromnumeric.py:3323:_prod_dispatcher,3,2.91e-07,2.91e-07
fromnumeric.py:3519:_ndim_dispatcher,5,4.5800000000000005e-07,4.5800000000000005e-07
_methods.py:45:_amin,3,1.0000000000000002e-06,1.5042000000000001e-05
_methods.py:49:_sum,1,3.34e-07,4.542e-06
_stride_tricks_impl.py:413:_broadcast_shape,8,1.4456e-05,1.5249000000000001e-05
_stride_tricks_impl.py:481:broadcast_arrays,8,1.4874e-05,4.7749e-05
shape_base.py:17:_atleast_1d_dispatcher,6,5.000000000000001e-07,5.000000000000001e-07
numeric.py:1478:_moveaxis_dispatcher,2,2.5000000000000004e-07,2.5000000000000004e-07
shape_base.py:21:atleast_1d,6,8.749e-06,1.5416e-05
_datasource.py:371:abspath,1,4.000000000000001e-06,3.0084000000000002e-05
_stride_tricks_impl.py:24:_maybe_view_as_subclass,1,3.3300000000000003e-07,3.3300000000000003e-07
_function_base_impl.py:5661:append,9,1.7417e-05,2.9374e-05
_datasource.py:290:_possible_names,2,4.293e-06,2.4666e-05
_npyio_impl.py:816:_ensure_ndmin_ndarray,1,2.583e-06,4.458e-06
function_base.py:21:_linspace_dispatcher,2,2.5000000000000004e-07,2.5000000000000004e-07
_stride_tricks_impl.py:345:<genexpr>,2,2.51e-07,2.51e-07
_function_base_impl.py:358:iterable,1,7.08e-07,8.33e-07
_function_base_impl.py:3936:median,1,2.916e-06,6.529100000000001e-05
_datasource.py:128:keys,5,5.958e-06,1.1166000000000001e-05
_type_check_impl.py:84:real,2,6.660000000000001e-07,6.660000000000001e-07
_datasource.py:483:open,1,5.125e-06,0.000255292
_datasource.py:299:_isurl,3,8.374e-06,3.6875e-05
_function_base_impl.py:1387:_diff_dispatcher,6,5.830000000000001e-07,5.830000000000001e-07
_npyio_impl.py:843:_check_nonneg_int,1,1.126e-06,1.334e-06
_datasource.py:255:__del__,1,4.5800000000000005e-07,7.5e-07
_stride_tricks_impl.py:477:_broadcast_arrays_dispatcher,8,5.85e-07,5.85e-07
_function_base_impl.py:3931:_median_dispatcher,1,8.400000000000001e-08,8.400000000000001e-08
_npyio_impl.py:806:_ensure_ndmin_ndarray_check_param,1,1.2500000000000002e-07,1.2500000000000002e-07
_datasource.py:154:open,1,3.7080000000000003e-06,0.00054475
_function_base_impl.py:5657:_append_dispatcher,9,7.09e-07,7.09e-07
_datasource.py:262:_iszip,3,4.081e-06,2.0873e-05
_datasource.py:276:_splitzipext,1,4.59e-07,3.75e-06
_type_check_impl.py:80:_real_dispatcher,2,1.66e-07,1.66e-07
_datasource.py:245:__init__,1,2.209e-06,0.00028575000000000003
_datasource.py:147:__getitem__,1,5.420000000000001e-07,6.25e-07
~:0:<method 'all' of 'numpy.generic' objects>,4,6.626000000000001e-06,1.4501e-05
~:0:<method 'any' of 'numpy.generic' objects>,1,9.160000000000001e-07,2.458e-06
~:0:<method 'as_arrays' of 'numpy._core._multiarray_umath._array_converter' objects>,2,4.1700000000000004e-07,4.1700000000000004e-07
~:0:<method 'result_type' of 'numpy._core._multiarray_umath._array_converter' objects>,2,1.0840000000000001e-06,1.0840000000000001e-06
~:0:<method 'wrap' of 'numpy._core._multiarray_umath._array_converter' objects>,2,7.92e-07,7.92e-07
~:0:<method 'any' of 'numpy.ndarray' objects>,4,5.916000000000001e-06,1.8833e-05
~:0:<method 'argmax' of 'numpy.ndarray' objects>,1,8.625000000000001e-06,8.625000000000001e-06
~:0:<method 'argsort' of 'numpy.ndarray' objects>,1,2.9e-05,2.9e-05
~:0:<method 'astype' of 'numpy.ndarray' objects>,11,2.7001e-05,2.7001e-05
~:0:<method 'clip' of 'numpy.ndarray' objects>,3,3.2920000000000004e-06,3.7000000000000005e-05
~:0:<method 'copy' of 'numpy.ndarray' objects>,6,2.0251e-05,2.0251e-05
~:0:<method 'cumsum' of 'numpy.ndarray' objects>,2,1.7292e-05,1.7292e-05
~:0:<method 'flatten' of 'numpy.ndarray' objects>,1,3.7080000000000003e-06,3.7080000000000003e-06
~:0:<method 'min' of 'numpy.ndarray' objects>,3,2.25e-06,1.7292e-05
~:0:<method 'partition' of 'numpy.ndarray' objects>,1,2.2542000000000002e-05,2.2542000000000002e-05
~:0:<method 'ravel' of 'numpy.ndarray' objects>,25,5.707000000000001e-06,5.707000000000001e-06
~:0:<method 'reshape' of 'numpy.ndarray' objects>,10,6.792e-06,6.792e-06
~:0:<method 'squeeze' of 'numpy.ndarray' objects>,1,2.5000000000000004e-07,2.5000000000000004e-07
~:0:<method 'sum' of 'numpy.ndarray' objects>,1,1.083e-06,5.625e-06
~:0:<method 'take' of 'numpy.ndarray' objects>,2,9.029200000000001e-05,9.029200000000001e-05
~:0:<method 'transpose' of 'numpy.ndarray' objects>,2,1.2080000000000001e-06,1.2080000000000001e-06
~:0:<built-in method numpy.array>,29,2.0750000000000003e-05,2.0750000000000003e-05
~:0:<built-in method numpy.asarray>,27,5.8360000000000005e-06,5.8360000000000005e-06
~:0:<built-in method numpy.asanyarray>,62,1.3129e-05,1.3129e-05
~:0:<built-in method numpy.ascontiguousarray>,5,1.666e-06,1.666e-06
~:0:<built-in method numpy.arange>,6,2.9292000000000003e-05,2.9292000000000003e-05
~:0:<built-in method numpy.zeros>,4,5.9666e-05,5.9666e-05
~:0:<built-in method numpy.empty>,6,4.082e-06,4.082e-06
~:0:<built-in method numpy.lib.array_utils.normalize_axis_index>,20,4.9560000000000005e-06,4.9560000000000005e-06
~:0:<built-in method numpy._core._multiarray_umath._load_from_filelike>,1,0.000197335,0.000208917
