function,ncalls,tottime,cumtime
~:0:<method 'min' of 'numpy.ndarray' objects>,3,2.29e-06,1.6249e-05
~:0:<method 'partition' of 'numpy.ndarray' objects>,1,3.3125e-05,3.3125e-05
~:0:<method 'ravel' of 'numpy.ndarray' objects>,25,5.583000000000001e-06,5.583000000000001e-06
~:0:<method 'reshape' of 'numpy.ndarray' objects>,10,5.3740000000000006e-06,5.3740000000000006e-06
~:0:<method 'squeeze' of 'numpy.ndarray' objects>,1,2.92e-07,2.92e-07
~:0:<method 'sum' of 'numpy.ndarray' objects>,1,1.083e-06,6e-06
~:0:<method 'take' of 'numpy.ndarray' objects>,2,9.345800000000001e-05,9.345800000000001e-05
~:0:<method 'transpose' of 'numpy.ndarray' objects>,2,1.001e-06,1.001e-06
~:0:<built-in method numpy.array>,29,1.9542e-05,1.9542e-05
~:0:<built-in method numpy.asarray>,27,5.499e-06,5.499e-06
~:0:<built-in method numpy.asanyarray>,62,1.3163000000000001e-05,1.3163000000000001e-05
~:0:<built-in method numpy.ascontiguousarray>,5,1.584e-06,1.584e-06
~:0:<built-in method numpy.arange>,6,2.5373000000000003e-05,2.5373000000000003e-05
~:0:<built-in method numpy.zeros>,4,3.7875e-05,3.7875e-05
~:0:<built-in method numpy.empty>,6,4.249e-06,4.249e-06
~:0:<built-in method numpy.lib.array_utils.normalize_axis_index>,20,4.835e-06,4.835e-06
~:0:<built-in method numpy._core._multiarray_umath._load_from_filelike>,1,0.000340625,0.000348459
~:0:<built-in method numpy._core._multiarray_umath._make_extobj>,2,1.0000000000000002e-06,1.0000000000000002e-06
~:0:<method '__exit__' of 'numpy.nditer' objects>,1,2.5000000000000004e-07,2.5000000000000004e-07
~:0:<method 'reduce' of 'numpy.ufunc' objects>,27,0.000125126,0.000125126
~:0:<method 'at' of 'numpy.ufunc' objects>,15,0.001078166,0.001078166
_npyio_impl.py:843:_check_nonneg_int,1,3.3300000000000003e-07,4.1700000000000004e-07
_datasource.py:255:__del__,1,4.59e-07,6.67e-07
_stride_tricks_impl.py:477:_broadcast_arrays_dispatcher,8,6.660000000000001e-07,6.660000000000001e-07
_function_base_impl.py:3931:_median_dispatcher,1,1.2500000000000002e-07,1.2500000000000002e-07
_npyio_impl.py:806:_ensure_ndmin_ndarray_check_param,1,2.08e-07,2.08e-07
_datasource.py:154:open,1,3.2920000000000004e-06,0.000430958
_function_base_impl.py:5657:_append_dispatcher,9,1.167e-06,1.167e-06
_datasource.py:262:_iszip,3,3.7490000000000004e-06,2.0708000000000002e-05
_datasource.py:276:_splitzipext,1,5.000000000000001e-07,3.958e-06
_type_check_impl.py:80:_real_dispatcher,2,1.67e-07,1.67e-07
_datasource.py:245:__init__,1,2.041e-06,6.1166e-05
_datasource.py:147:__getitem__,1,4.1700000000000004e-07,5.420000000000001e-07
core.py:6686:isMaskedArray,2,1.3750000000000002e-06,1.875e-06
parse.py:119:_coerce_args,6,2.5010000000000003e-06,3e-06
parse.py:845:__getattr__,4,2.708e-06,2.708e-06
parse.py:374:urlparse,4,9.54e-06,2.9749000000000003e-05
<string>:1:<lambda>,4,9.170000000000001e-07,1.5e-06
parse.py:108:_noop,6,4.18e-07,4.18e-07
base_flare_detector.py:462:calculate_precise_obs_time,1,1.1334e-05,3.0625e-05
base_flare_detector.py:527:remove,1,8.400000000000001e-08,8.400000000000001e-08
base_flare_detector.py:431:_get_tess_response,1,5.958e-06,0.0008739580000000001
base_flare_detector.py:466:<genexpr>,2,1.5830000000000001e-06,1.5830000000000001e-06
base_flare_detector.py:410:planck,2,2.0624e-05,2.0624e-05
base_flare_detector.py:414:tess_band_energy,1,5.958e-06,0.0009206660000000001
core.py:187:_power_unit,1,6.25e-07,1.083e-06
_pocketfft.py:120:fft,2,5.04e-06,0.0028292490000000003
_pocketfft.py:219:ifft,5,4.668e-06,0.004610501
_pocketfft.py:108:_swap_direction,5,1.0840000000000001e-06,1.0840000000000001e-06
_pocketfft.py:116:_fft_dispatcher,7,6.25e-07,6.25e-07
main.py:40:_is_regular,2,5.039e-06,0.000147749
main.py:52:_get_frequency_grid,1,1.8340000000000001e-06,5.5792000000000004e-05
core.py:329:power,1,1.0418000000000001e-05,0.006189959
main.py:78:validate_method,1,3.125e-06,9.816600000000001e-05
utils.py:6:bitceil,3,3.0420000000000003e-06,3.625e-06
main.py:31:available_methods,1,7.5e-07,9.160000000000001e-07
_interpolate.py:167:_do_extrapolate,1,2.5000000000000004e-07,5.000000000000001e-07
core.py:23:strip_units,2,1.3750000000000002e-06,1.875e-06
core.py:15:has_units,6,1.2080000000000001e-06,2.333e-06
_interpolate.py:536:_call_spline,1,2.0000000000000003e-06,0.00040516600000000004
core.py:152:<genexpr>,4,1.376e-06,2.751e-06
core.py:24:<lambda>,4,8.74e-07,1.1660000000000001e-06
_interpolate.py:544:_evaluate,1,7.292000000000001e-06,0.00042750000000000004
blas.py:395:getter,1,4.125e-06,2.6834e-05
_sparse.py:10:issparse,1,5.84e-07,4.1459000000000004e-05
_util.py:1032:normalize_axis_index,1,4.16e-07,4.16e-07
lapack.py:927:get_lapack_funcs,1,2.917e-06,2.2334e-05
_bsplines.py:29:_as_float_array,3,3.4590000000000003e-06,1.5625e-05
_bsplines.py:1013:_not_a_knot,1,7.416000000000001e-06,3.7916e-05
_bsplines.py:1591:<genexpr>,1,1.6250000000000001e-06,1.6250000000000001e-06
_bsplines.py:1594:<genexpr>,1,4.5800000000000005e-07,4.5800000000000005e-07
_bsplines.py:1040:_convert_string_aliases,2,6.26e-07,8.340000000000001e-07
_bsplines.py:541:_ensure_c_contiguous,1,6.25e-07,6.25e-07
_bsplines.py:255:construct_fast,1,2.9580000000000003e-06,3.417e-06
_bsplines.py:21:_get_dtype,3,1.4570000000000002e-06,6.249000000000001e-06
_bsplines.py:1051:_process_deriv_spec,2,1.585e-06,5.75e-06
_polyint.py:60:__call__,1,3e-06,0.00048195800000000005
_polyint.py:53:__init__,1,2.2080000000000003e-06,1.4375e-05
_polyint.py:91:_prepare_x,1,1.917e-06,5.05e-05
~:0:<built-in method scipy.interpolate._dierckx.evaluate_spline>,1,0.00039612500000000005,0.00039612500000000005
~:0:<built-in method scipy.interpolate._dierckx._coloc>,1,0.000604875,0.000604875
blas.py:270:find_best_blas_type,1,6.2080000000000005e-06,7.542000000000001e-06
_bsplines.py:1369:make_interp_spline,1,0.0012708740000000002,0.0019993750000000003
_bsplines.py:473:__call__,1,4.333e-06,0.00040316600000000005
_polyint.py:116:_set_yi,1,2.999e-06,1.2167e-05
_polyint.py:97:_finish_y,1,5.41e-07,9.58e-07
_polyint.py:108:_reshape_yi,1,3.2500000000000002e-06,2.0583000000000003e-05
_polyint.py:136:_set_dtype,1,1.751e-06,8.834e-06
core.py:162:_validate_frequency,1,8.340000000000001e-07,1.4590000000000001e-06
blas.py:337:_get_funcs,1,9.833e-06,1.9292e-05
_interpolate.py:434:fill_value,1,4.1660000000000004e-06,7.917e-06
fast_impl.py:6:lombscargle_fast,1,0.000308709,0.005997709
_interpolate.py:151:_check_broadcast_up_to,1,2.0000000000000003e-06,2.5e-06
base_flare_detector.py:185:lowpass,2,0.000164706,0.005579541
base_flare_detector.py:447:_get_star_intensity_ratio,1,9.501000000000001e-06,4.075e-05
base_flare_detector.py:516:rotation_period,1,3.0081000000000002e-05,0.0062648750000000005
base_flare_detector.py:531:process_data,1,0.00018895900000000002,0.043118667
parse.py:421:_checknetloc,2,3.7400000000000004e-07,3.7400000000000004e-07
<frozen posixpath>:72:join,3,6.457e-06,9.583000000000001e-06
<frozen posixpath>:376:abspath,1,3.1660000000000003e-06,5.9125e-05
_local.py:257:_parse_path,1,4.958000000000001e-06,1.0125e-05
fromnumeric.py:2241:clip,3,3.6240000000000004e-06,4.2583e-05
_ufunc_config.py:446:__enter__,2,3.999e-06,6.583e-06
_methods.py:75:_count_reduce_items,3,8.417000000000001e-06,9.208e-06
fromnumeric.py:69:_wrapreduction,6,8.041e-06,8.2124e-05
numeric.py:1420:normalize_axis_tuple,4,8.334e-06,1.2083000000000001e-05
getlimits.py:698:__init__,6,5.083e-06,5.083e-06
_stride_tricks_impl.py:340:_broadcast_to,1,1.2543e-05,1.5167e-05
_utils_impl.py:645:_median_nancheck,1,4.25e-06,9.417e-06
_datasource.py:101:_load,6,5.0850000000000004e-06,5.0850000000000004e-06
_datasource.py:340:_findfile,1,4.541e-06,6.883300000000001e-05
_datasource.py:413:_sanitize_relative_path,2,6.083e-06,1.0042000000000001e-05
_datasource.py:427:exists,1,1.334e-06,1.0500000000000001e-05
_methods.py:117:_mean,3,1.8959000000000003e-05,4.3459000000000005e-05
_methods.py:98:_clip,3,2.6042000000000002e-05,3.2874000000000004e-05
numeric.py:2373:isclose,2,6.799900000000001e-05,0.00011583300000000001
numeric.py:1482:moveaxis,2,9.373e-06,2.4708e-05
function_base.py:26:linspace,2,3.583e-05,6.1333e-05
_index_tricks_impl.py:344:__getitem__,1,1.7918e-05,2.6417e-05
_function_base_impl.py:1391:diff,6,7.7371e-05,8.3082e-05
_function_base_impl.py:3857:_ureduce,1,4.833e-06,8.225000000000001e-05
_function_base_impl.py:4025:_median,1,1.0251e-05,7.7e-05
_npyio_impl.py:1131:loadtxt,1,7.916e-06,0.00085225
_npyio_impl.py:874:_read,1,1.7335000000000003e-05,0.000843875
parse.py:469:urlsplit,2,1.1000000000000001e-05,1.6084e-05
base_flare_detector.py:162:apply_gap_correction,1,6.3044e-05,0.000152459
base_flare_detector.py:196:detrend_flux,1,0.00016225000000000001,0.008466958
base_flare_detector.py:469:flare_energy,1,5.84e-07,6.67e-07
base_flare_detector.py:484:flux_diff,1,4.834000000000001e-06,0.0025206670000000003
base_flare_detector.py:325:flaredetect_check,1,7.083000000000001e-06,8.625000000000001e-06
base_flare_detector.py:263:flaredetect,1,2.6958000000000002e-05,0.000967416
base_flare_detector.py:218:reestimate_errors,1,0.023142643,0.024379958
_pocketfft.py:58:_raw_fft,7,0.007425667,0.007429293000000001
utils.py:82:trig_sum,3,0.000980835,0.005660209
main.py:109:lombscargle,1,2.0042000000000002e-05,0.006174333000000001
core.py:106:__init__,1,4.667e-06,2.6667e-05
core.py:142:_validate_inputs,1,3.875e-06,1.4375e-05
utils.py:15:extirpolate,3,0.001275751,0.0025439160000000002
_interpolate.py:282:__init__,1,4.8459000000000005e-05,0.002243
_interpolate.py:559:_check_bounds,1,1.0792000000000001e-05,1.4875e-05
_util.py:410:_asarray_validated,1,4.209e-06,4.825e-05
