function,ncalls,tottime,cumtime
~:0:<method 'wrap' of 'numpy._core._multiarray_umath._array_converter' objects>,2,5.420000000000001e-07,5.420000000000001e-07
~:0:<method 'any' of 'numpy.ndarray' objects>,4,4.291e-06,1.5917e-05
~:0:<method 'argmax' of 'numpy.ndarray' objects>,1,9.375000000000001e-06,9.375000000000001e-06
~:0:<method 'argsort' of 'numpy.ndarray' objects>,1,0.00028245900000000004,0.00028245900000000004
~:0:<method 'astype' of 'numpy.ndarray' objects>,11,4.9125e-05,4.9125e-05
~:0:<method 'clip' of 'numpy.ndarray' objects>,3,5.166e-06,4.5874e-05
~:0:<method 'copy' of 'numpy.ndarray' objects>,6,1.9499e-05,1.9499e-05
~:0:<method 'cumsum' of 'numpy.ndarray' objects>,2,1.6625e-05,1.6625e-05
~:0:<method 'flatten' of 'numpy.ndarray' objects>,1,4.0420000000000004e-06,4.0420000000000004e-06
~:0:<method 'min' of 'numpy.ndarray' objects>,3,3.084e-06,0.000197042
~:0:<method 'partition' of 'numpy.ndarray' objects>,1,0.000627625,0.000627625
~:0:<method 'ravel' of 'numpy.ndarray' objects>,25,6.830000000000001e-06,6.830000000000001e-06
~:0:<method 'reshape' of 'numpy.ndarray' objects>,10,6.5410000000000006e-06,6.5410000000000006e-06
~:0:<method 'squeeze' of 'numpy.ndarray' objects>,1,2.91e-07,2.91e-07
~:0:<method 'sum' of 'numpy.ndarray' objects>,1,8.750000000000001e-07,5.792000000000001e-06
~:0:<method 'take' of 'numpy.ndarray' objects>,2,8.462500000000001e-05,8.462500000000001e-05
~:0:<method 'transpose' of 'numpy.ndarray' objects>,2,1.167e-06,1.167e-06
~:0:<built-in method numpy.array>,29,1.9001e-05,1.9001e-05
~:0:<built-in method numpy.asarray>,27,5.29e-06,5.29e-06
~:0:<built-in method numpy.asanyarray>,62,1.2372000000000001e-05,1.2372000000000001e-05
~:0:<built-in method numpy.ascontiguousarray>,5,1.5410000000000002e-06,1.5410000000000002e-06
~:0:<built-in method numpy.arange>,6,2.8915e-05,2.8915e-05
~:0:<built-in method numpy.zeros>,4,4.4957000000000003e-05,4.4957000000000003e-05
~:0:<built-in method numpy.empty>,6,4.041e-06,4.041e-06
~:0:<built-in method numpy.lib.array_utils.normalize_axis_index>,20,4.543e-06,4.543e-06
~:0:<built-in method numpy._core._multiarray_umath._load_from_filelike>,1,0.000646084,0.0006542080000000001
~:0:<built-in method numpy._core._multiarray_umath._make_extobj>,2,9.59e-07,9.59e-07
~:0:<method '__exit__' of 'numpy.nditer' objects>,1,3.3300000000000003e-07,3.3300000000000003e-07
~:0:<method 'reduce' of 'numpy.ufunc' objects>,27,0.00030795700000000003,0.00030795700000000003
~:0:<method 'at' of 'numpy.ufunc' objects>,15,0.0009370390000000001,0.0009370390000000001
_npyio_impl.py:843:_check_nonneg_int,1,1.291e-06,1.666e-06
_datasource.py:255:__del__,1,5.420000000000001e-07,7.92e-07
_stride_tricks_impl.py:477:_broadcast_arrays_dispatcher,8,7.930000000000001e-07,7.930000000000001e-07
_function_base_impl.py:3931:_median_dispatcher,1,8.400000000000001e-08,8.400000000000001e-08
_npyio_impl.py:806:_ensure_ndmin_ndarray_check_param,1,2.5000000000000004e-07,2.5000000000000004e-07
_datasource.py:154:open,1,3.208e-06,0.000475583
_function_base_impl.py:5657:_append_dispatcher,9,6.27e-07,6.27e-07
_datasource.py:262:_iszip,3,4.293e-06,2.2167e-05
_datasource.py:276:_splitzipext,1,2.91e-07,3.125e-06
_type_check_impl.py:80:_real_dispatcher,2,1.66e-07,1.66e-07
_datasource.py:245:__init__,1,1.791e-06,7.425e-05
_datasource.py:147:__getitem__,1,4.59e-07,5.420000000000001e-07
core.py:6686:isMaskedArray,2,1.5e-06,2.042e-06
parse.py:119:_coerce_args,6,3.209e-06,3.71e-06
parse.py:845:__getattr__,4,3e-06,3e-06
parse.py:374:urlparse,4,1.1083e-05,3.3792000000000004e-05
<string>:1:<lambda>,4,1.2930000000000002e-06,2.0000000000000003e-06
parse.py:108:_noop,6,5.41e-07,5.41e-07
